Algorithm,Q1P1,Q1P2,Q1P3,Q2P1,Q2P2,Q2P3,Q3P1,Q3P2,Q3P3,Q3P4,Q4P1,Q4P2,Q4P3
HASH_JOIN,172.20137079282517,74.16925867358121,48.83511947407163,2864.8115794200003,2775.7644159800006,2624.5893185000004,2835.62617042,2599.1130878000004,2620.0788667400006,902.5229259800003,2985.290858079999,1520.0154932600003,1357.28560475
LIP,172.66731385141028,68.42563082485215,44.31497956182259,881.9755795399999,811.7258248266667,779.7937428999999,1105.96455171,772.9341453933334,734.4547222683336,718.7388129399999,1164.4626276399997,949.2142334399999,791.1435787833332
TTJHP,124.90146505292296,47.096626302843646,33.459960026292954,570.1855267799998,480.66214914100004,459.54056046399995,706.0375416799999,479.54049587199995,465.9081742369999,400.6236532946668,725.8208950600002,592.9892663083334,528.6425827999999
YannakakisB,113.84467327218356,5.476660325344738,0.6837671708880481,113.55843188136956,46.98870836398159,21.651581637659135,543.8430301106666,23.22860491261253,2.52194374183882,1.1417403384440998,295.5041691628571,79.6457960255686,1.9815765054338081
Yannakakis,112.7411286167461,3.6708880945598947,0.6664796221259225,157.35426636291209,74.24652235604913,52.84800410107195,647.4866487666668,67.99423954753883,48.57215103091163,38.69676377976525,329.3076293138095,101.78269601849122,59.805460656614315
YannakakisB perf improv over HJ,0.3388863703695503,0.9261599694632582,0.9859984540172757,0.9603609421655717,0.9830717952526992,0.9917504877867775,0.808210604139644,0.9910628725538548,0.9990374550270784,0.9987349458882672,0.9010132736771547,0.9476019840727077,0.9985400445576826
Yannakakis perf improv over HJ,0.3452948249036616,0.9505066093391135,0.9863524523067917,0.9450734325798943,0.9732518646292122,0.9798642767732989,0.7716600814589167,0.9738394455144344,0.981461569097213,0.957123788586593,0.8896899347604591,0.9330383825231964,0.9559374530700707
TTJHP perf improv over HJ,0.274677869996799,0.365011500113331,0.31483816592159497,0.800969274602193,0.8268361153512016,0.8249095364273464,0.7510117698005924,0.8154984105451512,0.8221778053510655,0.5561069511229851,0.7568676120467489,0.609879459164893,0.6105148533588322
LIP perf improv over HJ,-0.002705803423282185,0.07743946685522042,0.09255920659002283,0.692134873415109,0.7075667444421497,0.7028892339828366,0.6099751923413129,0.7026161927999918,0.7196822081992633,0.20363373355911074,0.609933275182128,0.3755233169339572,0.4171134092820097
