Algorithm,Q3W,Q9W,Q10W,Q11W,Q12W,Q14W,Q15W,Q16W,Q18W,Q19W,SUM,SUM (hrs),MAX,MAX (min),MAX (hr),TIMEOUT
variant,,,,,,,,,,,,,,,,
HJ,1850.466,4625.645,1119.573,304.06,964.874,337.825,256.73,470.79,3166.636,3894.156,13096.599,0.003637944167,4625.645,0.07709408333,0.001284901389,21383101
TTJ,2539.242,4761.632,1479.152,323.246,939.738,337.647,256.733,478.872,4168.448,4904.053,15284.71,0.004245752778,4761.632,0.07936053333,0.001322675556,
LIP,2871.856,8004.409,1405.745,780.507,1453.426,412.806,260.209,794.434,5438.436,6493.079,21421.828,0.005950507778,8004.409,0.1334068167,0.002223446944,
Yannakakis,3947.362,13400.732,2045.596,670.58,2077.885,367.537,273.856,1370.675,6633.641,8278.172,30787.864,0.008552184444,13400.732,0.2233455333,0.003722425556,
,,,,,,,,,,,,,,,,
source,/home/zeyuanhu/projects/challenge-set-gitlab/results/tpch/with_predicates/benchmarktpchwithpredicate-result-2022-10-08t14:01:18.47327.json,/home/zeyuanhu/projects/challenge-set-gitlab/results/tpch/with_predicates/benchmarktpchwithpredicate-result-2022-10-07t06:22:05.370857.sum,/home/zeyuanhu/projects/challenge-set-gitlab/results/tpch/with_predicates/benchmarktpchwithpredicate-result-2022-10-08t14:01:18.47327.json,/home/zeyuanhu/projects/challenge-set-gitlab/results/tpch/with_predicates/benchmarktpchwithpredicate-result-2022-10-07t06:22:05.370857.sum,/home/zeyuanhu/projects/challenge-set-gitlab/results/tpch/with_predicates/benchmarktpchwithpredicate-result-2022-10-07t06:22:05.370857.sum,/home/zeyuanhu/projects/challenge-set-gitlab/results/tpch/with_predicates/benchmarktpchwithpredicate-result-2022-10-07t06:22:05.370857.sum,/home/zeyuanhu/projects/challenge-set-gitlab/results/tpch/with_predicates/benchmarktpchwithpredicate-result-2022-10-07t06:22:05.370857.sum,/home/zeyuanhu/projects/challenge-set-gitlab/results/tpch/with_predicates/benchmarktpchwithpredicate-result-2022-10-07t06:22:05.370857.sum,/home/zeyuanhu/projects/challenge-set-gitlab/results/tpch/with_predicates/benchmarktpchwithpredicate-result-2022-10-08t14:01:18.47327.json,/home/zeyuanhu/projects/challenge-set-gitlab/results/tpch/with_predicates/benchmarktpchwithpredicate-result-2022-10-07t06:22:05.370857.sum,,,,,,
reason to focus,,,,,,,,,,,,,,,,
TTJ Performance Improvement compared to HJ,-37.22%,-2.94%,-32.12%,-6.31%,2.61%,0.05%,0.00%,-1.72%,-31.64%,-25.93%,-16.71%,-16.71%,,,,
TTJ Performance Improvement compared to LIP,11.58%,40.51%,-5.22%,58.59%,35.34%,18.21%,1.34%,39.72%,23.35%,24.47%,28.65%,28.65%,,,,
TTJ Performance Improvement compared to Yannakakis,35.67%,64.47%,27.69%,51.80%,54.77%,8.13%,6.25%,65.06%,37.16%,40.76%,50.35%,50.35%,,,,