Algorithm,Q2,Q3,Q9,Q10,Q11,Q12,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,SUM,MAX,MAX (min),MAX (hr),TIMEOUT
variant,,,,,,,,,,,,,,,,,,,,
HJ,746.113,4249.231,10937.899,5548.716,423.859,3130.752,2999.62,2589.317,409.087,3038.234,4228.512,3004.404,9180.546,5213.048,1160.782,#REF!,#REF!,#REF!,#REF!,#REF!
TTJ,771.008,4426.765,11310.204,5664.195,414.753,3169.205,3050.828,2531.287,413.159,3009.617,4357.218,3020.643,9284.375,5566.797,1222.289,#REF!,#REF!,#REF!,#REF!,
LIP,1174.057,7029.597,17897.044,8742.126,814.611,5322.116,4350.257,3788.027,642.731,4831.713,7555.354,4496.452,13553.468,8700.788,1581.433,#REF!,#REF!,#REF!,#REF!,
Yannakakis,2540.359,24583.75,40361.827,26672.824,1406.965,21020.275,15542.47,12526.943,1590.688,15667.917,25310.36,15870.598,21762.028,32235.942,3618.704,#REF!,#REF!,#REF!,#REF!,
,,,,,,,,,,,,,,,,,,,,
source,/home/zeyuanhu/projects/challenge-set-gitlab/results/tpch/benchmarktpch-result-2022-08-26t10:18:03.172401.json,,,,/home/zeyuanhu/projects/challenge-set-gitlab/results/tpch/benchmarktpch-result-2022-08-26t13:48:33.804257.json,,,,,,,,,,,,,,,
reason to focus,,,,,,,,,,,,,,,,,,,,
TTJ Performance Improvement compared to HJ,-3.34%,-4.18%,-3.40%,-2.08%,2.15%,-1.23%,-1.71%,2.24%,-1.00%,0.94%,-3.04%,-0.54%,-1.13%,-6.79%,-5.30%,#REF!,,,,
TTJ Performance Improvement compared to LIP,34.33%,37.03%,36.80%,35.21%,49.09%,40.45%,29.87%,33.18%,35.72%,37.71%,42.33%,32.82%,31.50%,36.02%,22.71%,#REF!,,,,
TTJ Performance Improvement compared to Yannakakis,69.65%,81.99%,71.98%,78.76%,70.52%,84.92%,80.37%,79.79%,74.03%,80.79%,82.78%,80.97%,57.34%,82.73%,66.22%,#REF!,,,,
SUM,5231.537,40289.343,80506.974,46627.861,3060.188,32642.348,25943.175,21435.574,3055.665,26547.481,41451.444,26392.097,53780.417,51716.575,7583.208,#REF!,,,,
WARMUP TIMES,5,5,5,5,5,5,5,0,0,0,5,0,5,0,0,,,,,
MEASURE TIMES,5,5,5,5,5,5,5,1,1,1,5,1,5,1,1,,,,,
TOTAL TIMES,10,10,10,10,10,10,10,1,1,1,10,1,10,1,1,,,,,
SUM WEIGHTED 2,52315.37,402893.43,805069.74,466278.61,30601.88,326423.48,259431.75,21435.574,3055.665,26547.481,414514.44,26392.097,537804.17,51716.575,7583.208,3432063.47,,,,
WEIGHTED SUM,52315.37,402893.43,805069.74,466278.61,30601.88,326423.48,259431.75,21435.574,3055.665,26547.481,414514.44,26392.097,537804.17,51716.575,7583.208,3432063.47,,,,
,,,,,,,,,,,,,,,,0.9533509639,,,,