Query,Runtime,Build No-Good List ,No-good List Probing Time,Delete Tuple From H,ProbeHashTable,HashTableBuildTime,Materialization
Q1a,2686,0,0,0,15,1301,1370
Q1aOptJoinTreeOptOrdering,2692,0,0,0,182,445,2065
Q2a,16855,0,0,0,1936,1819,13100
Q2aOptJoinTreeOptOrdering,5017,0,0,0,203,1802,3012
Q2b,16494,0,0,0,1687,1819,12988
Q2bOptJoinTreeOptOrdering,4985,0,0,0,234,1800,2951
Q2c,16881,0,0,0,1851,1859,13171
Q2cOptJoinTreeOptOrdering,4455,0,0,0,125,1695,2635
Q7a,30991,0,0,0,2941,647,27403
Q7aOptJoinTreeOptOrdering,22637,0,0,0,1553,670,20414
Q8c,101199,0,0,0,18955,3344,78900
Q8cOptJoinTreeOptOrdering,30602,0,0,0,2838,3338,24426