Query,Runtime,Total Tuple Fetching Time,R_k tupleFetchingTime,No-good List Probing Time,PassContextWorkTime,JoinTime,HashTableBuildTime (Raw),HashTableBuildTime,Other
Q1a,2701,484,4,0,0,52,1275,795,1370
Q1aOptJoinTreeOptOrdering,2693,313,210,0,0,434,421,318,1628
Q2a,17025,935,360,0,0,9608,1792,1217,5265
Q2aOptJoinTreeOptOrdering,4836,1015,347,0,0,598,1785,1117,2106
Q2b,16728,1016,399,0,0,9350,1825,1208,5154
Q2bOptJoinTreeOptOrdering,4718,826,329,0,0,538,1774,1277,2077
Q2c,16884,1145,512,0,0,9351,1769,1136,5252
Q2cOptJoinTreeOptOrdering,4303,1001,289,0,0,254,1862,1150,1898
Q7a,31011,4476,4343,0,0,10361,663,530,15644
Q7aOptJoinTreeOptOrdering,22379,4296,4167,0,0,4104,531,402,13577
Q8c,99535,5298,4308,0,0,60692,3315,2325,31220
Q8cOptJoinTreeOptOrdering,30225,5058,4116,0,0,8707,2877,1935,14525